school_id,school_name,year,province,batch,subject,major_group,major,score,rank,plan
1002,黑龙江司法警官职业学院,2025,贵州,专科批,历史类,,,423,52254,
1005,黑龙江幼儿师范高等专科学校,2025,贵州,专科批,历史类,,,309,80531,
1006,黑龙江职业学院,2025,贵州,专科批,历史类,,,280,44892,
1019,呼和浩特职业技术大学,2025,贵州,专科批,历史类,,,363,75404,
102,保定幼儿师范高等专科学校,2025,贵州,专科批,历史类,,,329,74670,
1024,湖北城市建设职业技术学院,2025,贵州,专科批,历史类,,,277,68090,
1028,湖北恩施学院,2025,贵州,专科批,历史类,,,360,62353,
103,保定职业技术学院,2025,贵州,专科批,历史类,,,211,58137,
1030,湖北工程学院新技术学院,2025,贵州,专科批,历史类,,,282,81114,
1031,湖北工程职业学院,2025,贵州,专科批,历史类,,,254,67635,
1034,湖北工业职业技术学院,2025,贵州,专科批,历史类,,,273,55265,
1035,湖北国土资源职业学院,2025,贵州,专科批,历史类,,,358,45715,
1036,湖北黄冈应急管理职业技术学院,2025,贵州,专科批,历史类,,,348,49982,
1038,湖北交通职业技术学院,2025,贵州,专科批,历史类,,,418,41180,
1044,湖北科技职业学院,2025,贵州,专科批,历史类,,,311,58963,
1051,湖北轻工职业技术学院,2025,贵州,专科批,历史类,,,390,43272,
1052,湖北三峡职业技术学院,2025,贵州,专科批,历史类,,,384,29696,
1053,湖北商贸学院,2025,贵州,专科批,历史类,,,251,87126,
1054,湖北生态工程职业技术学院,2025,贵州,专科批,历史类,,,356,59191,
1055,湖北生物科技职业学院,2025,贵州,专科批,历史类,,,291,62540,
1058,湖北师范大学文理学院,2025,贵州,专科批,历史类,,,433,43893,
1059,湖北水利水电职业技术学院,2025,贵州,专科批,历史类,,,387,57236,
106,保山中医药高等专科学校,2025,贵州,专科批,历史类,,,413,38768,
1061,湖北铁道运输职业学院,2025,贵州,专科批,历史类,,,419,40309,
1063,湖北文理学院理工学院,2025,贵州,专科批,历史类,,,252,80237,
1064,湖北孝感美珈职业学院,2025,贵州,专科批,历史类,,,351,78381,
1068,湖北幼儿师范高等专科学校,2025,贵州,专科批,历史类,,,423,46884,
1069,湖北职业技术学院,2025,贵州,专科批,历史类,,,447,33326,
1071,湖北中医药高等专科学校,2025,贵州,专科批,历史类,,,436,28283,
1072,湖南安全技术职业学院,2025,贵州,专科批,历史类,,,344,61018,
1073,湖南财经工业职业技术学院,2025,贵州,专科批,历史类,,,366,42535,
1075,湖南城建职业技术学院,2025,贵州,专科批,历史类,,,256,77467,
1078,湖南大众传媒职业技术学院,2025,贵州,专科批,历史类,,,454,30300,
1083,湖南高尔夫旅游职业学院,2025,贵州,专科批,历史类,,,336,81374,
1084,湖南高速铁路职业技术学院,2025,贵州,专科批,历史类,,,464,28880,
1087,湖南工程职业技术学院,2025,贵州,专科批,历史类,,,338,27993,
1089,湖南工商职业学院,2025,贵州,专科批,历史类,,,402,58955,
1093,湖南工业职业技术学院,2025,贵州,专科批,历史类,,,399,63746,
1095,湖南国防工业职业技术学院,2025,贵州,专科批,历史类,,,408,47071,
